Dataset,Algorithm,Execution Time (ms),Total Profit,Total Weight,Selected Pallets
Pallets_01.csv,Brute-force,0.00236,19,80,2 3
Pallets_01.csv,Dynamic Programming,0.010585,19,80,2 3
Pallets_01.csv,Greedy,0.007177,19,80,2 3
Pallets_01.csv,ILP,73.3074,19,80,2 3
Pallets_01.csv,Back Tracking,0.000401,19,80,2 3
Pallets_02.csv,Brute-force,0.000407,33,130,1 2 3
Pallets_02.csv,Dynamic Programming,0.002557,33,130,1 2 3
Pallets_02.csv,Greedy,0.001303,33,130,1 2 3
Pallets_02.csv,ILP,55.1408,33,130,1 2 3
Pallets_02.csv,Back Tracking,0.000456,33,130,1 2 3
